2019-06-24 15:37:35 status installed install-info:amd64 6.1.0.dfsg.1-5
2019-06-24 15:37:35 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:37:35 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:37:36 status installed man-db:amd64 2.7.5-1
2019-06-24 15:37:36 startup packages configure
2019-06-24 15:37:36 configure bash:amd64 4.3-14ubuntu1.3 <none>
2019-06-24 15:37:36 status unpacked bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 status unpacked bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 status unpacked bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 status unpacked bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 status unpacked bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 status half-configured bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 status installed bash:amd64 4.3-14ubuntu1.3
2019-06-24 15:37:36 startup archives unpack
2019-06-24 15:37:37 upgrade bsdutils:amd64 1:2.27.1-6ubuntu3.6 1:2.27.1-6ubuntu3.7
2019-06-24 15:37:37 status half-configured bsdutils:amd64 1:2.27.1-6ubuntu3.6
2019-06-24 15:37:37 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.6
2019-06-24 15:37:37 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3.6
2019-06-24 15:37:37 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:37:37 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3.6
2019-06-24 15:37:37 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.7
2019-06-24 15:37:37 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.7
2019-06-24 15:37:37 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:37:37 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:37:38 status installed man-db:amd64 2.7.5-1
2019-06-24 15:37:38 startup packages configure
2019-06-24 15:37:38 configure bsdutils:amd64 1:2.27.1-6ubuntu3.7 <none>
2019-06-24 15:37:38 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3.7
2019-06-24 15:37:38 status half-configured bsdutils:amd64 1:2.27.1-6ubuntu3.7
2019-06-24 15:37:38 status installed bsdutils:amd64 1:2.27.1-6ubuntu3.7
2019-06-24 15:37:38 startup archives unpack
2019-06-24 15:37:38 upgrade login:amd64 1:4.2-3.1ubuntu5.3 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:38 status half-configured login:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:37:38 status unpacked login:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:37:38 status half-installed login:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:37:38 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:37:39 status half-installed login:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:37:39 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:39 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:39 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:37:39 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:37:42 status installed man-db:amd64 2.7.5-1
2019-06-24 15:37:42 startup packages configure
2019-06-24 15:37:42 configure login:amd64 1:4.2-3.1ubuntu5.4 <none>
2019-06-24 15:37:42 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 status unpacked login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 status half-configured login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 status installed login:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:37:42 startup archives unpack
2019-06-24 15:37:42 upgrade util-linux:amd64 2.27.1-6ubuntu3.6 2.27.1-6ubuntu3.7
2019-06-24 15:37:42 status half-configured util-linux:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:42 status unpacked util-linux:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:42 status half-installed util-linux:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:42 status triggers-pending mime-support:all 3.59ubuntu1
2019-06-24 15:37:43 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:37:43 status triggers-pending systemd:amd64 229-4ubuntu21.10
2019-06-24 15:37:43 status triggers-pending ureadahead:amd64 0.100.0-19
2019-06-24 15:37:43 status triggers-pending ureadahead:amd64 0.100.0-19
2019-06-24 15:37:44 status half-installed util-linux:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:45 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:45 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:45 trigproc mime-support:all 3.59ubuntu1 <none>
2019-06-24 15:37:45 status half-configured mime-support:all 3.59ubuntu1
2019-06-24 15:37:45 status installed mime-support:all 3.59ubuntu1
2019-06-24 15:37:45 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:37:45 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:37:47 status installed man-db:amd64 2.7.5-1
2019-06-24 15:37:47 trigproc ureadahead:amd64 0.100.0-19 <none>
2019-06-24 15:37:47 status half-configured ureadahead:amd64 0.100.0-19
2019-06-24 15:37:48 status installed ureadahead:amd64 0.100.0-19
2019-06-24 15:37:48 startup packages configure
2019-06-24 15:37:48 configure util-linux:amd64 2.27.1-6ubuntu3.7 <none>
2019-06-24 15:37:48 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:48 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:48 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:49 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:49 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:49 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:49 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:49 status unpacked util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:49 status half-configured util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:50 status installed util-linux:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:50 trigproc systemd:amd64 229-4ubuntu21.10 <none>
2019-06-24 15:37:50 status half-configured systemd:amd64 229-4ubuntu21.10
2019-06-24 15:37:51 status installed systemd:amd64 229-4ubuntu21.10
2019-06-24 15:37:51 startup archives unpack
2019-06-24 15:37:51 upgrade mount:amd64 2.27.1-6ubuntu3.6 2.27.1-6ubuntu3.7
2019-06-24 15:37:51 status half-configured mount:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:51 status unpacked mount:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:51 status half-installed mount:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:51 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:37:51 status half-installed mount:amd64 2.27.1-6ubuntu3.6
2019-06-24 15:37:52 status unpacked mount:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:52 status unpacked mount:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:52 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:37:52 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:37:52 status installed man-db:amd64 2.7.5-1
2019-06-24 15:37:52 startup packages configure
2019-06-24 15:37:52 configure mount:amd64 2.27.1-6ubuntu3.7 <none>
2019-06-24 15:37:52 status unpacked mount:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:52 status half-configured mount:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:52 status installed mount:amd64 2.27.1-6ubuntu3.7
2019-06-24 15:37:53 startup archives unpack
2019-06-24 15:37:53 upgrade libc6-dev:amd64 2.23-0ubuntu10 2.23-0ubuntu11
2019-06-24 15:37:53 status half-configured libc6-dev:amd64 2.23-0ubuntu10
2019-06-24 15:37:53 status unpacked libc6-dev:amd64 2.23-0ubuntu10
2019-06-24 15:37:53 status half-installed libc6-dev:amd64 2.23-0ubuntu10
